id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50265449,Bright 1 BR in East Riverside,405833537,Frontdesk,,78741,30.23025,-97.71942,Entire home/apt,119,1,0,,,12,345,0,
50266078,Cute & quaint home away from home.,20413239,Nicole,,78741,30.23427,-97.73099,Entire home/apt,60,6,0,,,1,0,0,
50266424,"★15 Min ACL, 20 Min COTA★ Luxury Apartment ATX!",218507164,Ray,,78702,30.25196,-97.69388,Entire home/apt,110,2,5,2021-11-14,1.12,14,61,5,
50268159,Private and furnished room for rent,343576151,Shadrach,,78754,30.35844,-97.61563,Private room,45,14,2,2021-10-30,0.72,3,365,2,
50269871,4 bedroom home with a pool and an amazing backyard,405887585,Heather,,78747,30.1311,-97.77038,Entire home/apt,543,2,13,2021-10-24,2.32,1,101,13,
50269950,A home you will love | 2BR in Austin,359036978,Casey,,78702,30.28029,-97.71073,Entire home/apt,215,30,0,,,329,365,0,
50272036,Cozy Cottage in West Austin,12863112,Gaylen,,78746,30.29242,-97.83479,Entire home/apt,86,1,20,2021-12-10,3.55,1,164,20,
50280905,Boho Retreat☼Sleeps 6☼King Bed☼Great for Long Stay,50486079,Jason,,78741,30.23136,-97.71895,Entire home/apt,132,3,19,2021-10-25,3.39,4,337,19,
50283601,"Private, Quiet Guest-house",235126080,Annie,,78738,30.33834,-97.99711,Entire home/apt,165,2,17,2021-11-18,2.85,1,19,17,
50285075,Clementine - East Austin's Top floor suite!,181159894,David,,78702,30.2521,-97.69433,Entire home/apt,189,1,8,2021-11-07,1.37,8,93,8,
50286161,North Austin Mid-Century Ranch Home,11121716,Bethany,,78758,30.36212,-97.70393,Entire home/apt,575,3,4,2021-11-27,0.82,1,18,4,
50288213,1 Bedroom Deluxe Club Wyndham Austin TX,405873379,Scott,,78701,30.27105,-97.74664,Entire home/apt,200,2,0,,,1,88,0,
50289741,"★NEW★ 15 Min ACL, 20 Min COTA WFH Ready!",218507164,Ray,,78702,30.25394,-97.69441,Entire home/apt,110,2,4,2021-11-27,1.22,14,60,4,
50289791,"★15 Min ACL, 20 Min COTA★WFH in Brand New Complex!",218507164,Ray,,78702,30.25395,-97.69333,Entire home/apt,107,3,8,2021-11-07,1.47,14,42,8,
50289841,"★20 Min from ACL★WFH Ready in ATX, 2Standing Desks",218507164,Ray,,78702,30.25221,-97.69313,Entire home/apt,125,3,3,2021-10-25,0.55,14,25,3,
50289870,"★NEW★ Naruto-inspired, w/Standing Desk,WFH in ATX!",218507164,Ray,,78702,30.2539,-97.69419,Entire home/apt,110,3,2,2021-12-05,2,14,61,2,
50289992,"★NEW★ 2 Standing Desks, WFH in Brand New Complex!",218507164,Ray,,78702,30.25236,-97.69434,Entire home/apt,122,3,10,2021-11-23,1.79,14,43,10,
